	Name_in_tree	Taxon	Clade	Subclade	Subclade_2	Max_age	Min_age	FL	FC	FML	FAP	HL	HC	HML	HAP	Juvenile	Bonebed
1	not	Apatosaurus_minimus	Sauropodomorpha	Macronaria	Macronaria	Kimmeridgian	Tithonian	NA	NA	NA	NA	NA	NA	NA	NA	0	0
2	not	Cetiosauriscus_greppini	Sauropodomorpha	Eusauropoda	Eusauropoda	Early_Kimmeridgian	Early_Kimmeridgian	NA	NA	NA	NA	560	NA	NA	NA	0	1
3	not	Cetiosaurus_glymptonensis	Sauropodomorpha	Eusauropoda	Eusauropoda	Late_Bathonian	Late_Bathonian	NA	NA	NA	NA	NA	NA	NA	NA	0	0
4	not	Gyposaurus_sinensis	Sauropodomorpha	Sauropodomorpha	Sauropodomorpha_1	Hettangian	Hettangian	235.5	NA	NA	22	150	NA	21	NA	1	0
5	not	Huanghetitan_ruyangensis	Sauropodomorpha	Titanosauriformes	Titanosauriformes	Cenomanian	Turonian	NA	NA	NA	NA	NA	NA	NA	NA	0	0
6	not	Morosaurus_agilis	Sauropodomorpha	Eusauropoda	Eusauropoda	Kimmeridgian	Tithonian	NA	NA	NA	NA	NA	NA	NA	NA	0	0
7	Pelorosaurus_becklesii	Pelorosaurus_becklesii	Sauropodomorpha	Titanosauria	Titanosauria	Late_Hauterivian	Early_Aptian	NA	NA	NA	NA	600	NA	113	76	0	0
8	not	Yunnanosaurus_youngi	Sauropodomorpha	Sauropodomorpha	Sauropodomorpha_2	Middle_Jurassic	Middle_Jurassic	NA	NA	NA	NA	NA	NA	NA	NA	0	0
9	Aardonyx	Aardonyx_celestae	Sauropodomorpha	Sauropodomorpha	Sauropodomorpha_2	Hettangian	Sinemurian	NA	NA	NA	NA	NA	NA	NA	NA	1	0
10	not	Abrosaurus_dongpoensis	Sauropodomorpha	Macronaria	Macronaria	Bajocian	Callovian	NA	NA	NA	NA	NA	NA	NA	NA	0	0
11	not	Adamantisaurus_mezzalirai	Sauropodomorpha	Titanosauria	Titanosauria	Turonian	Santonian	NA	NA	NA	NA	NA	NA	NA	NA	0	0
12	Adeopapposaurus	Adeopapposaurus_mognai	Sauropodomorpha	Sauropodomorpha	Sauropodomorpha_1	Early_Jurassic	Early_Jurassic	230	NA	26	24	159	NA	21	NA	0	1
13	Aegyptosaurus	Aegyptosaurus_baharijensis	Sauropodomorpha	Titanosauria	Titanosauria	Early_Cenomanian	Early_Cenomanian	1290	NA	220	NA	1000	NA	NA	NA	0	0
14	Aeolosaurus_maximus	Aeolosaurus_maximus	Sauropodomorpha	Titanosauria	Titanosauria	Campanian	Maastrichtian	1550	NA	221	154	NA	NA	NA	NA	0	0
15	not	Aeolosaurus_colhuehuapensis	Sauropodomorpha	Titanosauria	Titanosauria	Campanian	Maastrichtian	NA	NA	NA	NA	NA	NA	NA	NA	0	0
16	Aeolosaurus_rionegrinus	Aeolosaurus_rionegrinus	Sauropodomorpha	Titanosauria	Titanosauria	Campanian	Maastrichtian	NA	NA	NA	NA	925	435	NA	NA	0	0
17	Aeolosaurus_sp.	Aeolosaurus_sp.	Sauropodomorpha	Titanosauria	Titanosauria	Campanian	Maastrichtian	NA	NA	NA	NA	NA	NA	NA	NA	0	0
18	not	Agustinia_ligabuei	Sauropodomorpha	Titanosauria	Titanosauria	Early_Albian	Early_Albian	NA	NA	NA	NA	NA	NA	NA	NA	0	0
19	Alamosaurus	Alamosaurus_sanjuanensis	Sauropodomorpha	Titanosauria	Titanosauria	Campanian	Maastrichtian	NA	740	NA	NA	1503	661	NA	NA	0	0
20	Amargasaurus	Amargasaurus_cazaui	Sauropodomorpha	Diplodocoidea	Diplodocoidea	Barremian	Early_Aptian	1050	530	180	128.8	720	380	NA	NA	0	0
21	not	Amargatitanis_macni	Sauropodomorpha	Titanosauriformes	Titanosauriformes	Late_Barremian	Early_Aptian	1118	510	220	NA	NA	NA	NA	NA	0	0
22	not	Amazonsaurus_maranhensis	Sauropodomorpha	Diplodocoidea	Diplodocoidea	Aptian	Albian	NA	NA	NA	NA	NA	NA	NA	NA	0	0
23	Anchisaurus	Anchisaurus_polyzelus	Sauropodomorpha	Sauropodomorpha	Sauropodomorpha_1	Hettangian	Sinemurian	275	NA	42.3	33.2	NA	NA	NA	NA	0	0
24	Ampelosaurus	Ampelosaurus_atacis	Sauropodomorpha	Titanosauria	Titanosauria	Late_Campanian	Early_Maastrichtian	710	257	104.3	54.7	657	280	113	60	0	1
25	Amphicoelias	Amphicoelias_altus	Sauropodomorpha	Diplodocoidea	Diplodocoidea	Kimmeridgian	Tithonian	1770	735	216	210	NA	NA	NA	NA	0	0
26	not	Amygdalodon_patagonicus	Sauropodomorpha	Eusauropoda	Eusauropoda	Late_Toarcian	Early_Aalenian	NA	NA	NA	NA	NA	NA	NA	NA	0	1
27	Andesaurus	Andesaurus_delgadoi	Sauropodomorpha	Titanosauria	Titanosauria	Early_Cenomanian	Early_Cenomanian	NA	NA	NA	NA	NA	NA	190	NA	0	0
28	not	Angolatitan_adamastor	Sauropodomorpha	Titanosauriformes	Titanosauriformes	Late_Turonian	Late_Turonian	NA	NA	NA	NA	1100	432	NA	NA	0	0
29	Antarctosaurus	Antarctosaurus_wichmannianus	Sauropodomorpha	Titanosauria	Titanosauria	Early_Campanian	Middle_Campanian	2280	796	NA	NA	NA	NA	NA	NA	0	0
30	not	Antarctosaurus_brasilensis	Sauropodomorpha	Titanosauria	Titanosauria	Turonian	Santonian	NA	NA	286	135	NA	NA	150	100	0	0
31	Antetonitrus	Antetonitrus_ingenipes	Sauropodomorpha	Sauropoda	Sauropoda	Norian	Rhaetian	794	410	159	89	717	310	94	89	0	0
32	Apatosaurus_excelsus	Apatosaurus_excelsus	Sauropodomorpha	Diplodocoidea	Diplodocoidea	Kimmeridgian	Tithonian	1725	740	292	167	1080	591	221	129	0	0
33	Apatosaurus_louisae	Apatosaurus_louisae	Sauropodomorpha	Diplodocoidea	Diplodocoidea	Kimmeridgian	Tithonian	1785	845	332.3	174	1150	640	238	164	0	0
34	Apatosaurus_ajax	Apatosaurus_ajax	Sauropodomorpha	Diplodocoidea	Diplodocoidea	Kimmeridgian	Tithonian	1870	757	NA	NA	NA	616	223	NA	0	0
35	not	Apatosaurus_yahnahpin	Sauropodomorpha	Diplodocoidea	Diplodocoidea	Kimmeridgian	Tithonian	NA	NA	NA	NA	1100	NA	190	NA	0	0
36	Apatosaurus_parvus	Apatosaurus_parvus	Sauropodomorpha	Diplodocoidea	Diplodocoidea	Kimmeridgian	Tithonian	1700	NA	290	155	1130	NA	177	119	0	0
37	Aragosaurus	Aragosaurus_ischiaticus	Sauropodomorpha	Macronaria	Macronaria	Late_Hauterivian	Late_Hauterivian	1420	640	NA	NA	1120	NA	130	108	0	0
38	not	Archaeodontosaurus_descouensi	Sauropodomorpha	Eusauropoda	Eusauropoda	Bathonian	Bathonian	NA	NA	NA	NA	NA	NA	NA	NA	0	0
39	Arcusaurus	Arcusaurus_pereirabdalorum	Sauropodomorpha	Sauropodomorpha	Sauropodomorpha_1	Hettangian	Sinemurian	NA	NA	NA	NA	NA	NA	NA	NA	0	0
40	Argentinosaurus	Argentinosaurus_huinculensis	Sauropodomorpha	Titanosauria	Titanosauria	Late_Cenomanian	Turonian	2250	1114	NA	NA	NA	NA	NA	NA	0	0
41	Argyrosaurus	Argyrosaurus_superbus	Sauropodomorpha	Titanosauria	Titanosauria	Cenomanian	Cenomanian	NA	NA	NA	NA	1370	672	NA	NA	0	0
42	not	Atacamatitan_chilensis	Sauropodomorpha	Titanosauria	Titanosauria	Late_Cretaceous	Late_Cretaceous	1100	NA	125	NA	NA	NA	121	NA	0	0
43	Atlasaurus	Atlasaurus_imelakei	Sauropodomorpha	Macronaria	Macronaria	Bathonian	Callovian	1943	690	NA	NA	1973	565	NA	NA	0	0
44	not	Atsinganosaurus_velauciensis	Sauropodomorpha	Titanosauria	Titanosauria	Late_Campanian	Late_Campanian	NA	NA	NA	NA	NA	NA	NA	NA	0	0
